profile_id,survey_link,status,survey_completion_date_time,data_pipeline,link_source,platform,os,browser,version,ip,market,language,duration_seconds,[q5]: Single-select - What is your biological gender?,[q6]: Single-select - What is your race?,"[q7]: Single-select - Do you currently drive or have access to a car (owned, shared, or rental)? ",[q8]: Multi-select - What are your main reasons for not owning or driving a car?,"[q10]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - Certificate of Entitlement (COE) prices are too high for the average Singaporean. ","[q11]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The COE system is effective in keeping Singapore’s vehicle population under control. ","[q12]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The COE system is a fair way to decide who gets to own a car in Singapore.","[q13]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The COE system should be reviewed or improved to better meet current needs. ","[q14]: Grid Single-select - We are going to show you a series of statements. Using the scale provided, kindly tell us how you feel about each of the statements. - The government is doing enough to manage and stabilise COE prices."
4f4zxLxFy9hkUivrh8yfMEeyCUKvVK6FT7t5Dn4cDgVs6UGj,,completed,2025-11-07T11:16:18.965+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,29.13,Female,Chinese,"Yes, I own a car ",,Strongly Agree,Agree,Neutral,Neutral,Neutral
mM3iBcVqW8Xy5bddqecr3QRPTPUeINvAuhn1AnJp8fm4tD9k,,completed,2025-11-08T15:28:34.761+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,34.3,Male,Chinese,"No, I do not drive or have access to a car","Certificate of Entitlement (COE) prices are too high; General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Strongly Agree,Agree,Neutral,Agree,Strongly Disagree
b1z0oLUpy66unXUsXrmriUbh8TEJUZfFHxz7QTo9UsyluNBg,,completed,2025-11-07T20:09:13.978+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,51.5,Female,Chinese,"Yes, I own a car ",,Strongly Agree,Disagree,Disagree,Agree,Disagree
5BvKmQDarTHzjCGKvjQhkxqaLd283vVqjRnAmYLa4fuyrSyA,,completed,2025-11-07T13:58:04.636+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,28.76,Male,Malay,"Yes, I share a car with others (e.g. family, friends)",,Agree,Agree,Neutral,Neutral,Disagree
lv5C4q1WxK3skjSnvIaKcD7c1rHb4WDEMJCe1E0Y7DVItpfe,,completed,2025-11-07T12:53:21.030+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,17.96,Male,Chinese,"Yes, I own a car ",,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree
S47wBdyUfTueHkmVan3KcGot5wc1LxCrCsHNu1aFoLuyT6If,,completed,2025-11-07T19:10:32.092+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,26.9,Female,Chinese,"Yes, I own a car ",,Neutral,Agree,Neutral,Neutral,Agree
6TlPUhoCtKbWIyoM7HFCxdQLcY0TGGAQuVVtGpUOMoMHTIXj,,completed,2025-11-06T21:23:24.979+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,56.25,Male,Indian,"No, I do not drive or have access to a car",Sufficient public transport options ; I do not have a driving licence,Strongly Agree,Strongly Disagree,Neutral,Agree,Neutral
VHpoa87s8AbHdMKjRmE3hvtdshZLBNBVZGfp7NlBcsqGu1HY,,completed,2025-11-07T09:39:37.096+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,86.94,Female,Chinese,"No, I do not drive or have access to a car",Certificate of Entitlement (COE) prices are too high; I do not have a driving licence,Strongly Agree,Neutral,Neutral,Agree,Neutral
6OQFMRL769XodetGUqzDVlYly8ZWHuCdBYJEnw6FDMFebiC5,,completed,2025-11-08T12:44:06.814+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,20.13,Female,Chinese,"Yes, I use car rental or car-sharing services",,Neutral,Agree,Agree,Neutral,Neutral
FbXUjgFS5zD6JCdnxMg0i9SVv4Qy50cQi9b91SOjZ2BJtIM3,,completed,2025-11-07T14:20:19.261+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,23.63,Female,Chinese,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; Sufficient public transport options ",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
MDw0ufE18n7o76RaVGRKHaFTbw0cQuAUIMEMx5kOo83Dlf3q,,completed,2025-11-07T13:22:20.963+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,46.68,Male,Chinese,"No, I do not drive or have access to a car",I do not have a driving licence,Agree,Disagree,Disagree,Agree,Neutral
bDp1gatHdpoXTN4TlGb5kd8gfGMdOkshX9vwAAsc8GgvW0JR,,completed,2025-11-07T23:19:31.367+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,45.01,Male,Chinese,"No, I do not drive or have access to a car","Certificate of Entitlement (COE) prices are too high; General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
IXKLrFMC3kkw0UEdczWnt3Nc9nGpg7w2IEQ1KaRl5W08tu0V,,completed,2025-11-08T12:05:32.304+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,27.01,Male,Chinese,"Yes, I share a car with others (e.g. family, friends)",,Agree,Neutral,Agree,Strongly Agree,Neutral
vtvEAqbLmMoKA4w9lp0LX006p7JSn3Cy6KRF58bBFolnhzZd,,completed,2025-11-07T21:48:58.547+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,100.95,Male,Malay,"Yes, I use car rental or car-sharing services",,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree
uUQny3A5Oyhn1ZkCIOWvGErj5LVZhEzebyOuWS7GqintThcX,,completed,2025-11-06T22:17:56.456+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,93.36,Female,Malay,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; Sufficient public transport options ",Agree,Neutral,Neutral,Agree,Neutral
Uuh9f3eI45gfqbrEY2HV4npmmjfeRp89MoP4CV9eX9r1u7Qc,,completed,2025-11-07T07:46:03.770+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,47.19,Female,Malay,"No, I do not drive or have access to a car",I do not have a driving licence,Agree,Neutral,Disagree,Agree,Neutral
QmLkbpNpRNoBZXczn5qu8LAKT5VpIqi2l8sr09YQ61xzzTTx,,completed,2025-11-06T23:58:26.259+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,102.78,Female,Indian,"No, I do not drive or have access to a car",Certificate of Entitlement (COE) prices are too high; I do not have a driving licence,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree
Ir0iLSGKaeqtn6d6dIxJ8vfIGfSkTQIbJoiP6eMgtF6yQAeY,,completed,2025-11-06T22:32:53.410+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,38.29,Female,Malay,"Yes, I share a car with others (e.g. family, friends)",,Strongly Agree,Agree,Neutral,Agree,Neutral
O0Pt1FosSKnHLATxxhxkwOTwkvW45rfirRKNriEvtUNhRv04,,completed,2025-11-07T16:37:52.498+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,124.31,Female,Malay,"Yes, I share a car with others (e.g. family, friends)",,Strongly Agree,Disagree,Disagree,Neutral,Disagree
9n2rwHyiAJe4CvmwmZGqDvfd4FY7EiQGOM2ajkXJ8xFxyIVW,,completed,2025-11-08T16:22:41.800+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,42.97,Female,Chinese,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; Sufficient public transport options ",Strongly Agree,Strongly Agree,Neutral,Agree,Neutral
E7O07XQKp7j3NMFxQxD99DD6rAC3bTThA1MzbHJ2GKqVeaT7,,completed,2025-11-06T22:23:14.017+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,87.92,Female,Malay,"No, I do not drive or have access to a car",Sufficient public transport options ; I do not have a driving licence,Agree,Neutral,Neutral,Agree,Agree
mpOQtglTL1L4SAInJa9sBIcFFcVCOy7JcW5Hx6mHYJ7IvQRx,,completed,2025-11-08T16:23:30.034+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.3,192.168.189.201,SG,EN,40.72,Female,Chinese,"No, I do not drive or have access to a car",I do not have a driving licence,Neutral,Neutral,Neutral,Neutral,Neutral
8bURK1G7tL85PkbiTC3IFGG3kcmGiLaWoCPGH4pUY9N097My,,completed,2025-11-07T04:10:23.308+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,58.27,Female,Caucasian,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; I do not have a driving licence",Strongly Agree,Agree,Neutral,Agree,Disagree
vWLfP9HruBjr8sVs1fWTAeKIuSlsDKyTCasi3mjdqApGovn1,,completed,2025-11-07T23:06:53.496+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,51.21,Female,Chinese,"No, I do not drive or have access to a car","I do not have a driving licence; I prefer other modes of transport (e.g. cycling, ride-hailing) ",Agree,Neutral,Neutral,Agree,Neutral
55UAi51KSecQbRE0JigSeuEN7cB7YiLSyqLtiIXtY4JcAqS6,,completed,2025-11-07T11:01:29.362+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,45.97,Female,Others,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Strongly Agree,Neutral,Neutral,Agree,Neutral
MKvuDyCC3zMB8aIEnEYh8QWYmVTtZlmrDPoI5PjNFL2V2jsy,,completed,2025-11-08T15:35:25.536+8:00,SG live,,iPad,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,51.4,Male,Chinese,"Yes, I own a car ",,Neutral,Neutral,Neutral,Neutral,Neutral
7wqQYf4nbgYAoejnvlc9ZzERNcRgjP4qCJQ6oWGr58N9AHZe,,completed,2025-11-07T19:35:13.224+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,44.13,Female,Chinese,"No, I do not drive or have access to a car",I do not have a driving licence,Neutral,Neutral,Neutral,Neutral,Neutral
VJ5U0iGnYw6faqrDTbK17yJPb4wLoHNYhAtqY4kN9qascDXg,,completed,2025-11-08T12:36:00.270+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,48.25,Female,Chinese,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Neutral,Agree,Neutral,Agree,Neutral
BxJ31WEN1fHazOpIuPqipEtHr2iCPoDgZcxHZnDV2czTjdmF,,completed,2025-11-07T13:22:40.935+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,35.85,Female,Chinese,"No, I do not drive or have access to a car",Certificate of Entitlement (COE) prices are too high; Environmental or sustainability concerns ,Strongly Agree,Agree,Agree,Agree,Agree
yluPJM0Igiu7DBoAT72SAKBJiHZugz8lZlDJogwxANPy7PRN,,completed,2025-11-07T15:52:36.157+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,47.64,Female,Chinese,"No, I do not drive or have access to a car",I do not have a driving licence,Neutral,Neutral,Neutral,Neutral,Neutral
ETA3tFmHy9BNEfZIQhEeRaxiWa0ISn2xnln5KpMWg4uClFQf,,completed,2025-11-08T16:16:48.915+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,31.06,Female,Chinese,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; I prefer other modes of transport (e.g. cycling, ride-hailing) ",Agree,Neutral,Agree,Neutral,Neutral
PkjIdNR1hrZYXdAds1Uyn0ZvOfPHRIqRarAzCOCABHco9CP6,,completed,2025-11-06T18:17:53.389+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,63.93,Male,Indian,"No, I do not drive or have access to a car",Certificate of Entitlement (COE) prices are too high,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
jTRymPn7eTwsdxxr8GrfMo426tqb0N01CSrxtsItH7QpDgMv,,completed,2025-11-07T15:06:44.496+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,34.68,Male,Chinese,"No, I do not drive or have access to a car","Certificate of Entitlement (COE) prices are too high; General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree
W9MTTYuA6uoAW6M38SIxjcPHmZgEbwcRsHWwMja8Brk1WZNA,,completed,2025-11-07T22:14:50.863+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,3974.49,Female,Chinese,"Yes, I share a car with others (e.g. family, friends)",,Strongly Agree,Agree,Strongly Disagree,Agree,Agree
bWSsSItyRuu1c9yJo5goS9MTe3RtI4CRpaSm2yvVJQkPR8Mq,,completed,2025-11-07T23:26:29.572+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,38,Female,Chinese,"Yes, I own a car ",,Strongly Agree,Agree,Agree,Agree,Agree
Jzkp728r8FwfwBMvKE1ZqXPrt772niKwCBnotBGtf92nR8kn,,completed,2025-11-08T12:17:59.957+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,162.34,Female,Chinese,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; I do not have a driving licence",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
xnbX5k98qFUapUmfGoV24kigpTaJFTKJ3xOr940PJ0rbXmtk,,completed,2025-11-07T21:24:07.073+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,123.17,Male,Chinese,"No, I do not drive or have access to a car","Certificate of Entitlement (COE) prices are too high; General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
7IFw87LP9kAX48CpFznlYJYyGpJkrZfX2tWrwwsUEdGQAocF,,completed,2025-11-07T22:13:56.666+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,116.07,Male,Chinese,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; I prefer other modes of transport (e.g. cycling, ride-hailing) ",Strongly Agree,Agree,Disagree,Strongly Agree,Disagree
Uzn5VBZ15vgC4kGzzMfzQ9KeFOOFuOGNOeymLKM2NsWRaixk,,completed,2025-11-08T14:24:30.349+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,51.05,Male,Chinese,"No, I do not drive or have access to a car","Certificate of Entitlement (COE) prices are too high; General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Strongly Agree,Agree,Neutral,Agree,Neutral
MYlz1CWANYdMpmu3bIUJZyNHDYzLhsuImJICm3UiPEltuQqC,,completed,2025-11-06T19:17:09.563+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,35.77,Female,Chinese,"No, I do not drive or have access to a car",Other,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
7os9zxBdaJdaKJaa4aFUsZGS8v6cXS7QBX82xf5S3hLpuhAZ,,completed,2025-11-07T17:44:31.428+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,107.01,Female,Indian,"No, I do not drive or have access to a car",Certificate of Entitlement (COE) prices are too high; Sufficient public transport options ,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral
EnIuNK5yRbwNzb7F6SEtkKvAmbG8IPVOJwvonKe3wpmbkwFm,,completed,2025-11-07T22:57:44.810+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,42.63,Female,Chinese,"No, I do not drive or have access to a car",I do not have a driving licence,Agree,Neutral,Neutral,Agree,Neutral
XfZFDcqI8gVI1hy3UmVx0pU3LCAWQ5kpsybuVqH1mfrYgaQO,,completed,2025-11-07T10:33:30.508+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,35.14,Female,Malay,"Yes, I own a car ",,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree
rnpx9iswDB9frFBG3rItAStfXLILTO2JL3lbabQ7zR0ZgOVF,,completed,2025-11-06T15:35:47.348+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,55.29,Female,Caucasian,"Yes, I own a car ",,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral
SDl4Ab01QB6PgaWBhmejSQEFFjJHhG6xY648tdKtDCUrIv5M,,completed,2025-11-07T18:17:05.270+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,206.98,Female,Chinese,"No, I do not drive or have access to a car",Other,Strongly Agree,Neutral,Neutral,Agree,Disagree
K28l6KmKX0K2qOVHUiom9y8ooNjTbrPlu3O8KQ7PPzBTmJFv,,completed,2025-11-07T09:03:27.654+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,60.42,Male,Chinese,"No, I do not drive or have access to a car","Certificate of Entitlement (COE) prices are too high; General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ",Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree
2QmybYGIJ1qotW4M08PzIDWaVEOjKWdyFq7cUg65A4JXj6KU,,completed,2025-11-08T13:57:08.520+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,41.08,Female,Chinese,"Yes, I share a car with others (e.g. family, friends)",,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral
N7IXhaIvJxviYnCuFT0EhsrbBul1PMCaPo2oLNGoFkNOqEum,,completed,2025-11-07T08:38:39.430+8:00,SG live,,iPhone,iOS,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,26.05,Female,Indian,"Yes, I own a car ",,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree
RP75PmUbV1J33SSkip3zu6vA7oiyPyeFaZr3vNGbjoYXgNNV,,completed,2025-11-06T20:52:42.104+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.104.49,SG,EN,29.62,Female,Malay,"Yes, I own a car ",,Agree,Neutral,Neutral,Strongly Agree,Agree
1LYnYorwgDkuymnnLRf3wNOz9D3ucKwO2xrBAM9pfeeFS1hA,,completed,2025-11-07T11:43:48.195+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,104.21,Male,Malay,"No, I do not drive or have access to a car","General cost of car ownership is too high (e.g. maintenance, fuel, insurance) ; I do not have a driving licence",Strongly Agree,Neutral,Disagree,Agree,Neutral
W31a8zz4AtINNA9BxKSDWBHIIvMNPAdJzQNkik2aqRICprjq,,completed,2025-11-07T12:21:01.741+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.189.201,SG,EN,51.25,Male,Chinese,"Yes, I own a car ",,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree
0Ry8TdpW4I2vJEc1mqjdALPjFvsSmigM7L8HtWRSO9Ll6XKc,,completed,2025-11-07T16:58:26.762+8:00,SG live,,Android,unknown,MilieuSurveysMobile,2.9.5,192.168.152.87,SG,EN,54.25,Female,Chinese,"Yes, I share a car with others (e.g. family, friends)",,Strongly Agree,Agree,Neutral,Neutral,Disagree
